N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
329,PLUS 200,"43,915",하락45,-0.10%,0,"7,707","17,550",2.90,"174,493",N/A,N/A,
330,KODEX 미국S&P500(H),"14,450",하락55,-0.38%,0,"7,637","52,850",0.31,"276,117",N/A,N/A,
331,솔루엠,"15,970",상승20,+0.13%,500,"7,636","47,816",18.42,"122,463",26.09,9.48,
332,한화3우B,"39,350",상승550,+1.42%,"5,000","7,636","19,404",23.85,"55,250",3.76,N/A,
333,미원상사,"160,000","하락2,200",-1.36%,500,"7,600","4,750",3.04,"2,742",13.79,12.99,
334,TIGER 단기채권액티브,"56,010",보합0,0.00%,0,"7,592","13,554",0.00,"19,247",N/A,N/A,
335,N2 KIS CD금리투자 ETN,"54,130",보합0,0.00%,0,"7,578","14,000",0.00,0,N/A,N/A,
336,케이카,"15,720",상승90,+0.58%,500,"7,574","48,182",9.88,"74,631",16.24,19.09,
337,KODEX 25-11 은행채(AA-이상)PLUS액티브,"10,605",보합0,0.00%,0,"7,567","71,350",0.07,"31,262",N/A,N/A,
338,삼양홀딩스,"86,200","상승2,400",+2.86%,"5,000","7,514","8,717",8.06,"13,374",30.29,1.38,
339,빙그레,"78,200",상승100,+0.13%,"5,000","7,473","9,556",19.12,"21,561",7.98,15.14,
340,동아쏘시오홀딩스,"114,100","상승4,500",+4.11%,"5,000","7,458","6,536",13.65,"11,543",10.96,5.63,
341,TKG휴켐스,"18,220",상승30,+0.16%,"1,000","7,448","40,879",8.73,"69,617",12.07,9.09,
342,녹십자홀딩스,"15,740",상승190,+1.22%,500,"7,402","47,028",10.47,"32,420",11.51,2.43,
343,KODEX 미국AI전력핵심인프라,"17,430",하락250,-1.41%,0,"7,321","42,000",0.02,"2,817,075",N/A,N/A,
344,유안타증권,"3,645",상승50,+1.39%,"5,000","7,275","199,597",64.94,"261,121",16.13,4.52,
345,한화리츠,"4,030",상승30,+0.75%,500,"7,238","179,600",0.48,"149,401",58.41,2.06,
346,보령,"8,370",상승50,+0.60%,500,"7,180","85,787",6.39,"81,302",13.57,10.45,
347,F&F홀딩스,"18,310",상승500,+2.81%,500,"7,162","39,114",0.30,"45,123",6.97,4.92,
348,미원에스씨,"142,800",상승800,+0.56%,500,"7,140","5,000",0.49,428,12.47,14.00,
349,ACE 미국빅테크TOP7 Plus,"19,065",하락105,-0.55%,0,"7,140","37,450",0.01,"748,135",N/A,N/A,
350,전진건설로봇,"48,800",상승900,+1.88%,500,"7,121","14,593",0.28,"43,686",23.64,24.55,
351,TIGER 리츠부동산인프라,"4,260",상승5,+0.12%,0,"7,121","167,150",0.09,"1,004,586",N/A,N/A,
352,KODEX MSCI Korea TR,"14,325",하락55,-0.38%,0,"7,091","49,500",1.31,"2,966",N/A,N/A,
353,덴티움,"63,900",상승900,+1.43%,500,"7,073","11,069",14.29,"24,459",10.31,14.27,
354,TIGER Fn반도체TOP10,"11,655",하락85,-0.72%,0,"7,045","60,450",0.56,"1,052,822",N/A,N/A,
355,한화손해보험,"6,020",상승70,+1.18%,"5,000","7,028","116,739",14.78,"217,604",2.58,10.36,
356,KODEX 미국30년국채타겟커버드콜(합성 H),"8,700",보합0,0.00%,0,"6,930","79,650",0.10,"893,824",N/A,N/A,
357,아세아,"330,500","상승1,500",+0.46%,"5,000","6,888","2,084",7.84,"1,538",13.17,5.58,
358,KODEX 반도체,"36,235",하락185,-0.51%,0,"6,848","18,900",0.64,"344,141",N/A,N/A,
359,KG모빌리티,"3,370",상승40,+1.20%,"1,000","6,820","202,375",23.02,"197,652",-38.74,2.70,
360,KODEX 미국빅테크10(H),"52,270",하락585,-1.11%,0,"6,774","12,960",0.02,"116,192",N/A,N/A,
361,TIMEFOLIO 글로벌AI인공지능액티브,"31,985",하락75,-0.23%,0,"6,762","21,140",0.07,"336,546",N/A,N/A,
362,신한알파리츠,"5,580",상승30,+0.54%,"1,000","6,748","120,940",10.42,"161,477",66.43,1.65,
363,현대홈쇼핑,"56,000","상승1,000",+1.82%,"5,000","6,720","12,000",14.25,"8,775",8.07,7.43,
364,TIGER 은행고배당플러스TOP10,"19,360",상승190,+0.99%,0,"6,679","34,500",0.65,"1,162,161",N/A,N/A,
365,LG전자우,"38,850",상승450,+1.17%,"5,000","6,677","17,186",44.46,"47,648",10.16,N/A,
366,쿠쿠홈시스,"29,700",상승550,+1.89%,100,"6,664","22,437",7.18,"34,999",5.48,14.00,
367,코스모화학,"17,300",상승520,+3.10%,"1,000","6,645","38,408",6.71,"390,816",-11.08,-24.71,
368,KODEX 미국30년국채액티브(H),"9,005",하락15,-0.17%,0,"6,613","73,440",0.04,"832,297",N/A,N/A,
369,한국단자,"64,600",상승300,+0.47%,500,"6,534","10,115",23.27,"8,445",4.97,14.16,
370,대한유화,"99,800","상승1,900",+1.94%,"5,000","6,487","6,500",7.91,"28,290",631.65,-0.47,
371,키움 CD금리투자 ETN,"104,205",보합0,0.00%,0,"6,482","6,220",0.00,0,N/A,N/A,
372,신풍제약,"12,210",상승220,+1.83%,500,"6,469","52,985",4.89,"81,951",-47.88,-5.85,
373,태영건설,"2,190",상승40,+1.86%,500,"6,449","294,468",0.10,"259,857",39.82,61.93,
374,ACE 미국배당다우존스,"12,040",상승65,+0.54%,0,"6,417","53,300",0.01,"213,348",N/A,N/A,
375,풍산홀딩스,"44,250",하락200,-0.45%,"5,000","6,380","14,417",15.74,"32,283",6.27,9.41,
376,풀무원,"16,630",상승100,+0.60%,500,"6,339","38,121",0.51,"1,108,042",20.28,11.40,
377,금양,"9,900",보합0,0.00%,500,"6,333","63,967",5.58,0,-4.09,-40.88,
378,일진하이솔루스,"17,280",상승780,+4.73%,500,"6,275","36,313",3.89,"46,777",785.45,0.57,
379,KODEX 국고채30년액티브,"122,205",하락330,-0.27%,0,"6,273","5,133",0.01,"6,704",N/A,N/A,
380,LX홀딩스,"8,200",상승70,+0.86%,"1,000","6,255","76,281",12.59,"77,729",3.50,9.08,
381,일동제약,"20,050",상승300,+1.52%,"1,000","6,218","31,013",5.53,"354,897",-206.70,-2.77,
382,KIWOOM 국고채10년,"117,090",하락60,-0.05%,0,"6,195","5,291",0.01,"23,540",N/A,N/A,
383,카프로,"3,660",보합0,0.00%,500,"6,185","169,000",0.08,0,17.43,102.36,
384,케이씨텍,"29,850",하락500,-1.65%,500,"6,176","20,690",10.69,"83,709",12.75,11.28,
385,솔루스첨단소재,"8,760",상승120,+1.39%,100,"6,151","70,217",3.93,"440,495",-62.13,0.62,
386,아이에스동서,"20,150",상승260,+1.31%,500,"6,083","30,187",4.26,"15,049",-3.38,-10.19,
387,KODEX 단기채권,"113,820",상승5,0.00%,0,"6,072","5,335",0.01,"4,231",N/A,N/A,
388,KODEX 국고채3년,"62,970",하락20,-0.03%,0,"5,958","9,462",0.00,"16,559",N/A,N/A,
389,애경케미칼,"12,160",상승70,+0.58%,500,"5,916","48,649",0.00,"406,117",125.36,0.54,
390,한일홀딩스,"19,080",보합0,0.00%,"1,000","5,883","30,833",4.05,"10,129",6.29,7.56,
391,대한해운,"1,822",상승39,+2.19%,500,"5,880","322,747",5.23,"2,560,658",3.92,8.93,
392,한국쉘석유,"449,000","상승3,000",+0.67%,"5,000","5,837","1,300",59.79,"2,231",15.22,28.93,
393,현대그린푸드,"17,540",상승980,+5.92%,500,"5,812","33,136",14.16,"63,065",7.84,11.41,
394,신성통상,"4,040",하락10,-0.25%,500,"5,806","143,708",0.21,"29,106",8.90,16.24,
395,넥센타이어,"5,930",상승60,+1.02%,500,"5,792","97,668",6.48,"105,492",4.93,7.10,
396,코오롱,"45,800",상승350,+0.77%,"5,000","5,783","12,626",6.68,"144,210",4.01,12.49,
397,LF,"19,770",상승80,+0.41%,"5,000","5,781","29,240",12.99,"59,099",7.57,4.87,
398,KG스틸,"5,740",상승30,+0.53%,"5,000","5,741","100,009",6.45,"63,757",3.27,6.93,
399,YG PLUS,"9,010",상승110,+1.24%,500,"5,725","63,541",2.89,"2,893,350",70.94,0.73,
400,TIGER 200 IT,"32,200",하락335,-1.03%,0,"5,712","17,740",0.10,"28,181",N/A,N/A,
401,E1,"82,500","상승1,600",+1.98%,"5,000","5,660","6,860",6.40,"14,755",5.41,3.83,
402,삼천리,"138,800","상승2,100",+1.54%,"5,000","5,628","4,055",12.78,"14,824",5.13,6.55,
403,한국금융지주우,"95,300","상승4,000",+4.38%,"5,000","5,583","5,858",19.21,"25,082",5.07,N/A,
404,제주항공,"6,920",상승160,+2.37%,"1,000","5,580","80,641",2.22,"126,302",-9.58,6.84,
405,TIGER 미국달러SOFR금리액티브(합성),"57,960",상승50,+0.09%,0,"5,577","9,622",0.01,"6,889",N/A,N/A,
406,부국증권,"53,600",하락400,-0.74%,"5,000","5,558","10,370",0.83,"32,328",22.31,4.05,
407,삼양사,"53,500","상승1,100",+2.10%,"5,000","5,518","10,313",5.10,"11,959",4.95,7.53,
408,아세아시멘트,"14,700",하락40,-0.27%,500,"5,490","37,347",6.79,"109,074",8.60,7.65,
409,롯데손해보험,"1,764",상승36,+2.08%,"1,000","5,474","310,336",1.09,"144,795",-103.76,2.31,
410,유니드,"80,800",하락100,-0.12%,"5,000","5,468","6,768",9.90,"16,150",7.11,7.96,
411,KODEX 코스피,"32,705",상승75,+0.23%,0,"5,445","16,650",1.17,"273,463",N/A,N/A,
412,TIGER 우량회사채액티브,"117,665",하락10,-0.01%,0,"5,402","4,591",0.01,"31,214",N/A,N/A,
413,CJ4우(전환),"127,200","상승5,400",+4.43%,"5,000","5,376","4,227",5.40,"16,776",45.67,N/A,
414,바이오노트,"5,250",상승40,+0.77%,500,"5,358","102,056",0.53,"56,857",12.65,3.46,
415,세아홀딩스,"133,600","상승3,100",+2.38%,"5,000","5,344","4,000",1.30,"2,142",16.67,1.53,
416,엠씨넥스,"29,650",상승500,+1.72%,500,"5,330","17,978",13.65,"43,323",7.87,18.28,
417,후성,"4,955",상승125,+2.59%,500,"5,314","107,255",7.49,"697,911",-8.46,-21.71,
418,제주은행,"14,040",상승10,+0.07%,"5,000","5,307","37,799",1.38,"101,289",50.32,1.85,
419,삼성 레버리지 WTI원유 선물 ETN,"1,306",하락30,-2.25%,0,"5,276","404,000",0.01,"1,516,761",N/A,N/A,
420,OCI,"58,400","상승2,200",+3.91%,"5,000","5,228","8,952",6.32,"71,162",12.32,N/A,
421,KB KIS CD금리투자 ETN,"52,260",보합0,0.00%,0,"5,226","10,000",0.00,"6,196",N/A,N/A,
422,TIGER 미국달러단기채권액티브,"12,760",보합0,0.00%,0,"5,223","40,930",0.01,"201,102",N/A,N/A,
423,동국제강,"10,480",상승80,+0.77%,"5,000","5,199","49,608",27.48,"197,161",63.90,2.04,
424,PI첨단소재,"17,690",상승160,+0.91%,500,"5,195","29,366",7.67,"92,338",18.58,7.16,
425,JW중외제약,"22,300",상승50,+0.22%,"2,500","5,193","23,286",6.65,"23,803",8.90,21.87,
426,비에이치,"14,970",하락60,-0.40%,500,"5,159","34,464",9.80,"235,072",18.93,9.90,
427,TIGER 2차전지소재Fn,"4,205",상승30,+0.72%,0,"5,155","122,600",0.35,"8,781,330",N/A,N/A,
428,대신증권우,"19,750",하락50,-0.25%,"5,000","5,135","26,000",13.77,"60,123",10.69,N/A,
429,RISE KIS국고채30년Enhanced,"81,920",하락290,-0.35%,0,"5,133","6,266",0.01,"34,393",N/A,N/A,
430,퍼시스,"44,600",보합0,0.00%,"1,000","5,129","11,500",19.93,"1,434",15.49,8.64,
431,TIGER 미국필라델피아AI반도체나스닥,"12,215",하락275,-2.20%,0,"5,118","41,900",0.43,"828,500",N/A,N/A,
432,현대차증권,"8,270",상승110,+1.35%,"5,000","5,114","61,833",4.22,"96,614",8.40,2.80,
433,HD현대에너지솔루션,"45,550",상승100,+0.22%,"5,000","5,102","11,200",5.00,"72,655",27.67,0.03,
434,KODEX 미국배당커버드콜액티브,"11,740",하락15,-0.13%,0,"5,078","43,250",0.02,"677,307",N/A,N/A,
435,TIGER 미국테크TOP10타겟커버드콜,"14,055",하락55,-0.39%,0,"5,074","36,100",0.02,"260,924",N/A,N/A,
436,KCC글라스,"31,550",상승50,+0.16%,"1,000","5,039","15,971",8.46,"26,599",30.28,2.48,
437,ACE 200,"43,385",하락50,-0.12%,0,"5,033","11,600",11.39,"228,003",N/A,N/A,
438,KIWOOM 종합채권(AA-이상)액티브,"109,845",하락55,-0.05%,0,"5,003","4,555",0.00,644,N/A,N/A,
439,KODEX 자동차,"19,185",하락15,-0.08%,0,"4,998","26,050",0.30,"309,515",N/A,N/A,
440,제이알글로벌리츠,"2,525",하락5,-0.20%,"1,000","4,984","197,376",9.74,"336,067",12.75,2.48,
441,PLUS 종합채권(AA-이상)액티브,"116,290",하락65,-0.06%,0,"4,977","4,280",0.00,80,N/A,N/A,
442,TIGER 인도니프티50,"12,990",하락5,-0.04%,0,"4,956","38,150",0.13,"204,533",N/A,N/A,
443,신도리코,"48,950",하락750,-1.51%,"5,000","4,934","10,080",12.16,"14,252",7.56,7.12,
444,콜마홀딩스,"14,380",상승230,+1.63%,500,"4,932","34,296",20.61,"125,090",25.14,4.09,
445,고려제강,"18,190",상승40,+0.22%,"1,000","4,911","27,000",5.69,"41,118",31.86,1.95,
446,TCC스틸,"18,350",하락10,-0.05%,"1,000","4,810","26,214",5.80,"265,917",22.41,8.30,
447,NICE,"12,950",하락50,-0.38%,500,"4,808","37,128",10.42,"36,623",9.83,6.27,
448,KODEX 미국나스닥100(H),"17,840",하락135,-0.75%,0,"4,790","26,850",0.90,"174,536",N/A,N/A,
449,TIGER 테슬라채권혼합Fn,"13,470",하락65,-0.48%,0,"4,789","35,550",0.01,"304,293",N/A,N/A,
450,SPC삼립,"55,100","상승1,100",+2.04%,"5,000","4,755","8,629",3.61,"6,189",5.47,19.25,
451,KODEX 미국반도체,"27,195",하락460,-1.66%,0,"4,718","17,350",0.17,"361,612",N/A,N/A,
452,진에어,"9,000",상승170,+1.93%,"1,000","4,698","52,200",4.16,"109,729",6.42,51.15,
453,KODEX 미국달러SOFR금리액티브(합성),"11,955",상승20,+0.17%,0,"4,671","39,070",0.01,"42,737",N/A,N/A,
454,KODEX 국고채10년액티브,"114,800",하락55,-0.05%,0,"4,559","3,971",0.01,"4,987",N/A,N/A,
455,아모레퍼시픽우,"43,100",상승800,+1.89%,500,"4,550","10,558",44.51,"21,551",4.76,N/A,
456,화승엔터프라이즈,"7,470",하락40,-0.53%,500,"4,526","60,589",5.50,"66,390",12.99,6.38,
457,지누스,"20,300",상승200,+1.00%,500,"4,518","22,255",9.43,"132,081",17.87,-1.05,
458,TIGER 조선TOP10,"23,850",하락195,-0.81%,0,"4,496","18,850",2.04,"2,221,513",N/A,N/A,
459,KODEX AI전력핵심설비,"17,060",상승25,+0.15%,0,"4,470","26,200",0.78,"1,559,150",N/A,N/A,
460,RISE 200위클리커버드콜,"9,435",상승10,+0.11%,0,"4,453","47,200",0.40,"671,409",N/A,N/A,
461,신한 레버리지 WTI원유 선물 ETN(H),887,하락20,-2.21%,0,"4,435","500,000",0.00,"1,061,492",N/A,N/A,
462,KODEX 미국AI테크TOP10타겟커버드콜,"11,445",하락40,-0.35%,0,"4,418","38,600",0.02,"319,762",N/A,N/A,
463,조광피혁,"66,400",상승700,+1.07%,"5,000","4,415","6,649",0.64,"2,212",37.94,2.58,
464,명신산업,"8,390",상승190,+2.32%,500,"4,402","52,470",7.94,"78,189",4.10,20.95,
465,드림텍,"6,380",상승180,+2.90%,100,"4,395","68,890",57.37,"214,286",-375.29,0.95,
466,TIGER 미국S&P500(H),"14,970",하락50,-0.33%,0,"4,394","29,350",0.11,"81,246",N/A,N/A,
467,애경산업,"16,600",상승460,+2.85%,"1,000","4,384","26,410",2.20,"62,042",12.87,10.81,
468,RISE 미국30년국채엔화노출(합성 H),"8,320",하락20,-0.24%,0,"4,380","52,650",0.03,"350,153",N/A,N/A,
469,DS단석,"24,850",상승600,+2.47%,500,"4,370","17,584",2.79,"100,341",-79.14,-3.29,
470,TIGER 27-04회사채(A+이상)액티브,"53,630",상승5,+0.01%,0,"4,349","8,110",0.00,"22,372",N/A,N/A,
471,TIGER 2차전지TOP10,"8,465",상승60,+0.71%,0,"4,347","51,350",2.10,"3,976,299",N/A,N/A,
472,코람코라이프인프라리츠,"4,430",하락20,-0.45%,500,"4,312","97,335",1.32,"50,525",N/A,4.96,
473,동아에스티,"46,000",하락200,-0.43%,"5,000","4,302","9,353",17.58,"9,982",-541.18,-0.18,
474,KODEX 인도Nifty50,"13,260",하락10,-0.08%,0,"4,296","32,400",0.04,"126,293",N/A,N/A,
475,TIMEFOLIO 미국나스닥100액티브,"31,330",하락290,-0.92%,0,"4,292","13,700",0.25,"263,356",N/A,N/A,
476,KIWOOM 200,"43,250",하락40,-0.09%,0,"4,282","9,900",0.00,"56,067",N/A,N/A,
477,쏘카,"13,000",하락10,-0.08%,100,"4,269","32,842",1.01,"5,790",-23.99,-15.69,
478,맵스리얼티1,"4,535",상승25,+0.55%,0,"4,210","92,834",2.85,"67,555",N/A,N/A,
479,신대양제지,"10,420",하락200,-1.88%,500,"4,199","40,298",3.24,"53,086",14.37,6.00,
480,흥아해운,"1,745",상승20,+1.16%,500,"4,195","240,425",1.96,"950,560",10.97,20.08,
481,한세실업,"10,460",상승170,+1.65%,500,"4,184","40,000",3.07,"68,801",8.47,8.58,
482,TIGER 코리아배당다우존스,"12,110",상승115,+0.96%,0,"4,184","34,550",0.04,"1,582,030",N/A,N/A,
483,KODEX 금융고배당TOP10타겟위클리커버드콜,"12,560",상승140,+1.13%,0,"4,182","33,300",0.28,"594,665",N/A,N/A,
484,자화전자,"19,190",상승630,+3.39%,500,"4,175","21,757",5.90,"126,885",41.72,4.26,
485,세아제강,"146,700",상승100,+0.07%,"5,000","4,161","2,836",7.48,"6,378",3.41,N/A,
486,한전산업,"12,750",상승320,+2.57%,500,"4,156","32,600",1.64,"226,588",36.22,10.59,
487,티웨이항공,"1,928",상승54,+2.88%,500,"4,152","215,379",0.40,"2,056,913",-2.62,-55.03,
488,스틱인베스트먼트,"9,810",상승30,+0.31%,500,"4,089","41,678",27.46,"38,174",-114.07,3.72,
489,신세계인터내셔날,"11,500",상승250,+2.22%,"1,000","4,064","35,343",4.15,"66,642",16.72,3.85,
490,KODEX 한국부동산리츠인프라,"4,720",보합0,0.00%,0,"4,014","85,050",0.24,"1,091,569",N/A,N/A,
491,PLUS 머니마켓액티브,"52,520",상승10,+0.02%,0,"4,009","7,634",0.00,"14,846",N/A,N/A,
492,한일현대시멘트,"20,700",상승150,+0.73%,"5,000","4,001","19,328",1.64,"77,149",6.65,14.60,
493,해성디에스,"23,400",하락100,-0.43%,"5,000","3,978","17,000",8.37,"29,858",10.00,10.96,
494,삼아알미늄,"26,900",상승250,+0.94%,500,"3,958","14,712",37.34,"233,738",-30.96,-3.75,
495,KB스타리츠,"3,870",보합0,0.00%,500,"3,925","101,414",0.30,"43,538",-30.00,4.54,
496,삼성FN리츠,"4,300",상승20,+0.47%,500,"3,915","91,050",0.10,"72,644",113.16,0.89,
497,영진약품,"2,140",상승10,+0.47%,500,"3,914","182,893",3.01,"63,916",-214.00,1.37,
498,TIGER 미국나스닥100커버드콜(합성),"10,005",하락15,-0.15%,0,"3,907","39,050",0.02,"186,276",N/A,N/A,
499,더본코리아,"26,350",상승150,+0.57%,500,"3,894","14,777",0.89,"12,972",10.17,15.52,
500,넥스틸,"14,970",상승20,+0.13%,500,"3,892","26,002",0.41,"637,135",7.13,7.64,
